TrackURI,TrackName,AlbumName,ArtistNames,ReleaseDate,Duration,Popularity,Explicit,AddedBy,AddedAt,Genres,RecordLabel,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,TimeSignature
spotify:track:05vqINxhLMCvzoIdNzJ09J,"As Alive As You Need Me To Be","TRON Ares: Divergence","Nine Inch Nails",2026-02-27,237164,56,false,vv5owqf0qj6dnuaabmab9vjg6,2026-06-24T13:32:18Z,"post-grunge,nu metal,alternative metal","The Null Corporation/Interscope Records",0.585,0.923,4,-4.178,0,0.0414,0.000406,0.0166,0.244,0.207,107.012,4
spotify:track:5ugzDiilhy6ILKmKfhEzd7,"The Hand That Feeds","With Teeth","Nine Inch Nails",2005-05-03,211680,69,false,vv5owqf0qj6dnuaabmab9vjg6,2026-06-24T13:32:18Z,"post-grunge,nu metal,alternative metal","Nothing",0.587,0.99,0,-4.496,1,0.0783,0.0172,0.000668,0.104,0.486,127.992,4
spotify:track:1158ckiB5S4cpsdYHDB9IF,"My Own Summer (Shove It)","Around the Fur","Deftones",1997-10-27,214760,85,false,vv5owqf0qj6dnuaabmab9vjg6,2026-06-24T13:32:18Z,"","Maverick",0.443,0.781,1,-4.277,1,0.0377,0.0000133,0.205,0.166,0.372,71.841,4
spotify:track:3FI0iAAAjmR31xpZEwbdys,"Circle With Me","Eternal Blue","Spiritbox",2021-09-17,233880,76,false,vv5owqf0qj6dnuaabmab9vjg6,2026-06-24T13:32:18Z,"","Rise Records",0.422,0.874,8,-4.606,0,0.0534,0.000166,0.231,0.143,0.392,102.743,4
spotify:track:1YhdBg2KGOcFZ4XJkm7Ttv,"Everything's Eventual","Spiritbox","Spiritbox",2017-10-27,236320,46,false,vv5owqf0qj6dnuaabmab9vjg6,2026-06-24T13:32:18Z,"","Rise Records",0.263,0.988,9,-3.888,1,0.176,0.000177,0.135,0.0798,0.209,117.715,4
spotify:track:4bLCPfBLKlqiONo6TALTh5,"Entombed","Koi No Yokan","Deftones",2012-11-09,299240,80,false,vv5owqf0qj6dnuaabmab9vjg6,2026-06-24T13:32:18Z,"","Reprise",0.399,0.753,10,-3.882,1,0.0375,0.00593,0.128,0.366,0.167,130.055,4
spotify:track:70L6nHORQsblY813yNqUR3,"Cherry Waves","Saturday Night Wrist","Deftones",2006-10-25,317706,81,false,vv5owqf0qj6dnuaabmab9vjg6,2026-06-24T13:32:18Z,"","Maverick",0.47,0.859,2,-3.663,1,0.0537,0.000362,0.00691,0.142,0.17,124.01,4
spotify:track:4Uiw0Sl9yskBaC6P4DcdVD,"Be Quiet and Drive (Far Away)","Around the Fur","Deftones",1997-10-27,299866,83,false,vv5owqf0qj6dnuaabmab9vjg6,2026-06-24T13:32:18Z,"","Maverick",0.206,0.965,1,-5.116,1,0.079,0.00000991,0.827,0.367,0.168,92.615,4
spotify:track:1EryAkZ0VHstC6haIxVBiE,"Sextape","Diamond Eyes","Deftones",2010-04-30,241533,82,false,vv5owqf0qj6dnuaabmab9vjg6,2026-06-24T13:32:18Z,"","Reprise",0.367,0.634,5,-6.475,1,0.027,0.000824,0.0759,0.116,0.0964,89.981,4
spotify:track:51c94ac31swyDQj9B3Lzs3,"Change (In the House of Flies)","White Pony","Deftones",2000,299533,85,false,vv5owqf0qj6dnuaabmab9vjg6,2026-06-24T13:32:18Z,"","Rhino",0.269,0.853,7,-4.647,0,0.0854,0.000249,0.000246,0.118,0.179,141.581,4
